FBX File,Object Name
Volumetric Heart Sketch.fbx,Group20765
Volumetric Heart Sketch.fbx,Group50719
Volumetric Heart Sketch.fbx,Group50720
Volumetric Heart Sketch.fbx,Line001
Volumetric Heart Sketch.fbx,Line002
Volumetric Heart Sketch.fbx,Line006
Volumetric Heart Sketch.fbx,Line007
Volumetric Heart Sketch.fbx,Line008
Volumetric Heart Sketch.fbx,Line009
Volumetric Heart Sketch.fbx,Loft001
Volumetric Heart Sketch.fbx,Loft002
Volumetric Tripod Sketch.fbx,Box001
Volumetric Tripod Sketch.fbx,Circle001
Volumetric Tripod Sketch.fbx,Group20764
Volumetric Tripod Sketch.fbx,Group430
Volumetric Tripod Sketch.fbx,Group431
Volumetric Tripod Sketch.fbx,Group432
Volumetric Tripod Sketch.fbx,Group433
Volumetric Tripod Sketch.fbx,Group434
Volumetric Tripod Sketch.fbx,Group435
Volumetric Tripod Sketch.fbx,Group50719
Volumetric Tripod Sketch.fbx,Group50720
Volumetric Tripod Sketch.fbx,Helix001
Volumetric Tripod Sketch.fbx,Line001
Volumetric Tripod Sketch.fbx,Line002
Volumetric Tripod Sketch.fbx,Line003
Volumetric Tripod Sketch.fbx,Line004
Volumetric Tripod Sketch.fbx,Line005
Volumetric Tripod Sketch.fbx,Sphere001
Volumetric Tripod Sketch.fbx,Sphere002
Volumetric Tripod Sketch.fbx,Torus001
Volumetric Prince Rupert Sketch.fbx,Arc001
Volumetric Prince Rupert Sketch.fbx,Box001
Volumetric Prince Rupert Sketch.fbx,Box002
Volumetric Prince Rupert Sketch.fbx,Circle001
Volumetric Prince Rupert Sketch.fbx,Cone001
Volumetric Prince Rupert Sketch.fbx,Cone002
Volumetric Prince Rupert Sketch.fbx,Cone003
Volumetric Prince Rupert Sketch.fbx,Cone004
Volumetric Prince Rupert Sketch.fbx,Group20764
Volumetric Prince Rupert Sketch.fbx,Group50719
Volumetric Prince Rupert Sketch.fbx,Group50720
Volumetric Prince Rupert Sketch.fbx,Group65467
Volumetric Prince Rupert Sketch.fbx,Group65468
Volumetric Prince Rupert Sketch.fbx,Group65469
Volumetric Prince Rupert Sketch.fbx,Group65470
Volumetric Prince Rupert Sketch.fbx,Group65471
Volumetric Prince Rupert Sketch.fbx,Group65472
Volumetric Prince Rupert Sketch.fbx,Line001
Volumetric Prince Rupert Sketch.fbx,Line002
Volumetric Prince Rupert Sketch.fbx,Line003
Volumetric Prince Rupert Sketch.fbx,Line004
Volumetric Wedge Sketch.fbx,Circle001
Volumetric Wedge Sketch.fbx,Group20764
Volumetric Wedge Sketch.fbx,Group50719
Volumetric Wedge Sketch.fbx,Group50720
Volumetric Wedge Sketch.fbx,Group8784
Volumetric Wedge Sketch.fbx,Line001
Volumetric Wedge Sketch.fbx,Line002
Volumetric Wedge Sketch.fbx,Line003
Volumetric Wedge Sketch.fbx,NGon001
Volumetric Wedge Sketch.fbx,NGon002
Volumetric Wedge Sketch.fbx,NGon003
Volumetric Wedge Sketch.fbx,NGon004
Volumetric Wedge Sketch.fbx,NGon005
Volumetric Wedge Sketch.fbx,NGon006
Volumetric Wedge Sketch.fbx,Object001
Volumetric Wedge Sketch.fbx,Object002
Volumetric Wedge Sketch.fbx,Rectangle003
Volumetric Wedge Sketch.fbx,Rectangle005
Volumetric Wedge Sketch.fbx,Sphere001
Volumetric Wedge Sketch.fbx,Sphere002
Volumetric Cylinder Sketch.fbx,Arc001
Volumetric Cylinder Sketch.fbx,Arc002
Volumetric Cylinder Sketch.fbx,Arc003
Volumetric Cylinder Sketch.fbx,Arc004
Volumetric Cylinder Sketch.fbx,Arc005
Volumetric Cylinder Sketch.fbx,Arc006
Volumetric Cylinder Sketch.fbx,Arc007
Volumetric Cylinder Sketch.fbx,Group20764
Volumetric Cylinder Sketch.fbx,Group50719
Volumetric Cylinder Sketch.fbx,Group50720
Volumetric Cylinder Sketch.fbx,Helix001
Volumetric Cylinder Sketch.fbx,Line002
Volumetric Cylinder Sketch.fbx,Line003
Volumetric Cylinder Sketch.fbx,Line004
Volumetric Cylinder Sketch.fbx,Line005
Volumetric Cylinder Sketch.fbx,Pyramid001
Volumetric Cylinder Sketch.fbx,Rectangle001
Volumetric Cylinder Sketch.fbx,Rectangle002
Volumetric Cylinder Sketch.fbx,Rectangle003
Volumetric Crinkle Fry Sketch.fbx,Arc001
Volumetric Crinkle Fry Sketch.fbx,Arc002
Volumetric Crinkle Fry Sketch.fbx,Box001
Volumetric Crinkle Fry Sketch.fbx,Box002
Volumetric Crinkle Fry Sketch.fbx,Box003
Volumetric Crinkle Fry Sketch.fbx,Cone001
Volumetric Crinkle Fry Sketch.fbx,Cone002
Volumetric Crinkle Fry Sketch.fbx,Group20764
